"icd","icddesc","icdvers","hcc2013","hccesrd","hcc","rxhcc","inhcc2013","inhccesrd","inhcc","inrxhcc","year"
"04671","Gerstmn-Straus-Schnk syn",9,,52,,55,"No","Yes","No","Yes",2014
"04672","Fatal familial insomnia ",9,,52,,55,"No","Yes","No","Yes",2014
"04679","Prion dis of CNS NEC/NOS",9,,52,,55,"No","Yes","No","Yes",2014
"0468","Cns slow virus infec NEC",9,,52,,55,"No","Yes","No","Yes",2014
"0469","Cns slow virus infec NOS",9,,52,,55,"No","Yes","No","Yes",2014
"0522","Postvaricella myelitis ",9,,72,72,72,"No","Yes","Yes","Yes",2014
"05310","H zoster nerv syst NOS ",9,,,,83,"No","No","No","Yes",2014
"05311","Geniculate herpes zoster",9,,,,83,"No","No","No","Yes",2014
"05312","Postherpes trigem neural",9,,,,83,"No","No","No","Yes",2014
"05313","Postherpes polyneuropath",9,,,,83,"No","No","No","Yes",2014
"05314","Herpes zoster myelitis ",9,,72,72,72,"No","Yes","Yes","Yes",2014
"05319","H zoster nerv syst NEC ",9,,,,83,"No","No","No","Yes",2014
"0545","Herpetic septicemia ",9,2,2,2,,"Yes","Yes","Yes","No",2014
"05474","Herpes simplex myelitis ",9,,72,72,72,"No","Yes","Yes","Yes",2014
"05671","Arthritis due to rubella",9,37,39,39,,"Yes","Yes","Yes","No",2014
"07022","Hpt B chrn coma wo dlta ",9,27,29,29,25,"Yes","Yes","Yes","Yes",2014
"07023","Hpt B chrn coma w dlta ",9,27,29,29,25,"Yes","Yes","Yes","Yes",2014
"07032","Hpt B chrn wo cm wo dlta",9,27,29,29,25,"Yes","Yes","Yes","Yes",2014
"07033","Hpt B chrn wo cm w dlta ",9,27,29,29,25,"Yes","Yes","Yes","Yes",2014
"07044","Chrnc hpt C w hepat Coma",9,27,29,29,25,"Yes","Yes","Yes","Yes",2014
"07054","Chrnc hpt C wo hpat coma",9,27,29,29,25,"Yes","Yes","Yes","Yes",2014
"0723","Mumps pancreatitis ",9,32,,,,"Yes","No","No","No",2014
"0785","Cytomegaloviral disease ",9,5,6,6,5,"Yes","Yes","Yes","Yes",2014
"0786","Hem nephrosonephritis ",9,132,141,,126,"Yes","Yes","No","Yes",2014
"07953","Hiv-2 infection oth dis ",9,1,1,1,1,"Yes","Yes","Yes","Yes",2014
"09487","Syph rupt cereb aneurysm",9,95,99,99,,"Yes","Yes","Yes","No",2014
"09850","Gonococcal arthritis ",9,37,39,39,,"Yes","Yes","Yes","No",2014
"09851","Gonococcal synovitis ",9,37,39,39,,"Yes","Yes","Yes","No",2014
"09852","Gonococcal bursitis ",9,37,39,39,,"Yes","Yes","Yes","No",2014
"09853","Gonococcal spondylitis ",9,37,39,39,,"Yes","Yes","Yes","No",2014
"09859","Gc infect joint NEC ",9,37,39,39,,"Yes","Yes","Yes","No",2014
"09886","Gonococcal peritonitis ",9,31,33,33,,"Yes","Yes","Yes","No",2014
"0993","Reiter's disease ",9,,40,40,41,"No","Yes","Yes","Yes",2014
"1026","Yaws of bone & joint ",9,37,39,39,,"Yes","Yes","Yes","No",2014
"1124","Candidiasis of lung ",9,5,6,6,5,"Yes","Yes","Yes","Yes",2014
"1125","Disseminated candidiasis",9,5,6,6,5,"Yes","Yes","Yes","Yes",2014
"11284","Candidal esophagitis ",9,5,6,6,5,"Yes","Yes","Yes","Yes",2014
"1140","Primary coccidioidomycos",9,112,115,115,106,"Yes","Yes","Yes","Yes",2014
"1144","Ch pl coccidioidomycosis",9,112,115,115,106,"Yes","Yes","Yes","Yes",2014
"1145","Pl cocidioidomycosis NOS",9,112,115,115,106,"Yes","Yes","Yes","Yes",2014
"11505","Histoplasm caps pneumon ",9,112,115,115,106,"Yes","Yes","Yes","Yes",2014
"11515","Histoplasm dub pneumonia",9,112,115,115,106,"Yes","Yes","Yes","Yes",2014
"11595","Histoplasmosis pneumonia",9,112,115,115,106,"Yes","Yes","Yes","Yes",2014
"1173","Aspergillosis ",9,5,6,6,5,"Yes","Yes","Yes","Yes",2014
"1175","Cryptococcosis ",9,5,6,6,5,"Yes","Yes","Yes","Yes",2014
"1177","Zygomycosis ",9,5,6,6,5,"Yes","Yes","Yes","Yes",2014
"118","Opportunistic mycoses ",9,,6,6,5,"No","Yes","Yes","Yes",2014
"1212","Paragonimiasis ",9,112,115,115,106,"Yes","Yes","Yes","Yes",2014
"1221","Echinococc granul lung ",9,112,115,115,106,"Yes","Yes","Yes","Yes",2014
"1300","Toxoplasm meningoenceph ",9,5,6,6,5,"Yes","Yes","Yes","Yes",2014
"1304","Toxoplasma pneumonitis ",9,112,6,6,5,"Yes","Yes","Yes","Yes",2014
"1308","Multisystem toxoplasmos ",9,5,6,6,5,"Yes","Yes","Yes","Yes",2014
"135","Sarcoidosis ",9,,112,112,,"No","Yes","Yes","No",2014
"1361","Behcet's syndrome ",9,38,40,40,41,"Yes","Yes","Yes","Yes",2014
"1363","Pneumocystosis ",9,5,6,6,5,"Yes","Yes","Yes","Yes",2014
"1410","Mal neo tongue base ",9,9,11,11,,"Yes","Yes","Yes","No",2014
"1411","Mal neo dorsal tongue ",9,9,11,11,,"Yes","Yes","Yes","No",2014
"1412","Mal neo tip/lat tongue ",9,9,11,11,,"Yes","Yes","Yes","No",2014
"1413","Mal neo ventral tongue ",9,9,11,11,,"Yes","Yes","Yes","No",2014
"1414","Mal neo ant 2/3 tongue ",9,9,11,11,,"Yes","Yes","Yes","No",2014
"1415","Mal neo tongue junction ",9,9,11,11,,"Yes","Yes","Yes","No",2014
"1416","Mal neo lingual tonsil ",9,9,11,11,,"Yes","Yes","Yes","No",2014
"1418","Malig neo tongue NEC ",9,9,11,11,,"Yes","Yes","Yes","No",2014
"1419","Malig neo tongue NOS ",9,9,11,11,,"Yes","Yes","Yes","No",2014
"1420","Malig neo parotid ",9,9,11,11,,"Yes","Yes","Yes","No",2014
"1421","Malig neo submandibular ",9,9,11,11,,"Yes","Yes","Yes","No",2014
"1422","Malig neo sublingual ",9,9,11,11,,"Yes","Yes","Yes","No",2014
"1428","Mal neo maj salivary NEC",9,9,11,11,,"Yes","Yes","Yes","No",2014
"1429","Mal neo salivary NOS ",9,9,11,11,,"Yes","Yes","Yes","No",2014
"1430","Malig neo upper gum ",9,9,11,11,,"Yes","Yes","Yes","No",2014
"1431","Malig neo lower gum ",9,9,11,11,,"Yes","Yes","Yes","No",2014
"1438","Malig neo gum NEC ",9,9,11,11,,"Yes","Yes","Yes","No",2014
"1439","Malig neo gum NOS ",9,9,11,11,,"Yes","Yes","Yes","No",2014
"1440","Mal neo ant floor mouth ",9,9,11,11,,"Yes","Yes","Yes","No",2014
"1441","Mal neo lat floor mouth ",9,9,11,11,,"Yes","Yes","Yes","No",2014
"1448","Mal neo mouth floor NEC ",9,9,11,11,,"Yes","Yes","Yes","No",2014
"1449","Mal neo mouth floor NOS ",9,9,11,11,,"Yes","Yes","Yes","No",2014
"1450","Mal neo cheek mucosa ",9,9,11,11,,"Yes","Yes","Yes","No",2014
"1451","Mal neo mouth vestibule ",9,9,11,11,,"Yes","Yes","Yes","No",2014
"1452","Malig neo hard palate ",9,9,11,11,,"Yes","Yes","Yes","No",2014
"1453","Malig neo soft palate ",9,9,11,11,,"Yes","Yes","Yes","No",2014
"1454","Malignant neoplasm uvula",9,9,11,11,,"Yes","Yes","Yes","No",2014
"1455","Malignant neo palate NOS",9,9,11,11,,"Yes","Yes","Yes","No",2014
"1456","Malig neo retromolar ",9,9,11,11,,"Yes","Yes","Yes","No",2014
"1458","Malig neoplasm mouth NEC",9,9,11,11,,"Yes","Yes","Yes","No",2014
"1459","Malig neoplasm mouth NOS",9,9,11,11,,"Yes","Yes","Yes","No",2014
"1460","Malignant neopl tonsil ",9,9,11,11,,"Yes","Yes","Yes","No",2014
"1461","Mal neo tonsillar fossa ",9,9,11,11,,"Yes","Yes","Yes","No",2014
"1462","Mal neo tonsil pillars ",9,9,11,11,,"Yes","Yes","Yes","No",2014
"1463","Malign neopl vallecula ",9,9,11,11,,"Yes","Yes","Yes","No",2014
"1464","Mal neo ant epiglottis ",9,9,11,11,,"Yes","Yes","Yes","No",2014
"1465","Mal neo epiglottis junct",9,9,11,11,,"Yes","Yes","Yes","No",2014
"1466","Mal neo lat oropharynx ",9,9,11,11,,"Yes","Yes","Yes","No",2014
"1467","Mal neo post oropharynx ",9,9,11,11,,"Yes","Yes","Yes","No",2014
"1468","Mal neo oropharynx NEC ",9,9,11,11,,"Yes","Yes","Yes","No",2014
"1469","Malig neo oropharynx NOS",9,9,11,11,,"Yes","Yes","Yes","No",2014
"1470","Mal neo super nasopharyn",9,9,11,11,,"Yes","Yes","Yes","No",2014
"1471","Mal neo post nasopharynx",9,9,11,11,,"Yes","Yes","Yes","No",2014
"1472","Mal neo lat nasopharynx ",9,9,11,11,,"Yes","Yes","Yes","No",2014
"1473","Mal neo ant nasopharynx ",9,9,11,11,,"Yes","Yes","Yes","No",2014
"1478","Mal neo nasopharynx NEC ",9,9,11,11,,"Yes","Yes","Yes","No",2014
"1479","Mal neo nasopharynx NOS ",9,9,11,11,,"Yes","Yes","Yes","No",2014
"1480","Mal neo postcricoid ",9,9,11,11,,"Yes","Yes","Yes","No",2014
"1481","Mal neo pyriform sinus ",9,9,11,11,,"Yes","Yes","Yes","No",2014
"1482","Mal neo aryepiglott fold",9,9,11,11,,"Yes","Yes","Yes","No",2014
"1483","Mal neo post hypopharynx",9,9,11,11,,"Yes","Yes","Yes","No",2014
"1488","Mal neo hypopharynx NEC ",9,9,11,11,,"Yes","Yes","Yes","No",2014
"1489","Mal neo hypopharynx NOS ",9,9,11,11,,"Yes","Yes","Yes","No",2014
"1490","Mal neo pharynx NOS ",9,9,11,11,,"Yes","Yes","Yes","No",2014
"1491","Mal neo waldeyer's ring ",9,9,11,11,,"Yes","Yes","Yes","No",2014
"1498","Mal neo oral/pharynx NEC",9,9,11,11,,"Yes","Yes","Yes","No",2014
"1499","Mal neo orophryn ill-def",9,9,11,11,,"Yes","Yes","Yes","No",2014
"1500","Mal neo cervical esophag",9,8,9,9,,"Yes","Yes","Yes","No",2014
"1501","Mal neo thoracic esophag",9,8,9,9,,"Yes","Yes","Yes","No",2014
"1502","Mal neo abdomin esophag ",9,8,9,9,,"Yes","Yes","Yes","No",2014
"1503","Mal neo upper 3rd esoph ",9,8,9,9,,"Yes","Yes","Yes","No",2014
"1504","Mal neo middle 3rd esoph",9,8,9,9,,"Yes","Yes","Yes","No",2014
"1505","Mal neo lower 3rd esoph ",9,8,9,9,,"Yes","Yes","Yes","No",2014
"1508","Mal neo esophagus NEC ",9,8,9,9,,"Yes","Yes","Yes","No",2014
"1509","Mal neo esophagus NOS ",9,8,9,9,,"Yes","Yes","Yes","No",2014
"1510","Mal neo stomach cardia ",9,8,9,9,10,"Yes","Yes","Yes","Yes",2014
"1511","Malignant neo pylorus ",9,8,9,9,10,"Yes","Yes","Yes","Yes",2014
"1512","Mal neo pyloric antrum ",9,8,9,9,10,"Yes","Yes","Yes","Yes",2014
"1513","Mal neo stomach fundus ",9,8,9,9,10,"Yes","Yes","Yes","Yes",2014
"1514","Mal neo stomach body ",9,8,9,9,10,"Yes","Yes","Yes","Yes",2014
"1515","Mal neo stom lesser curv",9,8,9,9,10,"Yes","Yes","Yes","Yes",2014
"1516","Mal neo stom great curv ",9,8,9,9,10,"Yes","Yes","Yes","Yes",2014
"1518","Malig neopl stomach NEC ",9,8,9,9,10,"Yes","Yes","Yes","Yes",2014
"1519","Malig neopl stomach NOS ",9,8,9,9,10,"Yes","Yes","Yes","Yes",2014
"1520","Malignant neopl duodenum",9,8,9,9,11,"Yes","Yes","Yes","Yes",2014
"1521","Malignant neopl jejunum ",9,8,9,9,11,"Yes","Yes","Yes","Yes",2014
"1522","Malignant neoplasm ileum",9,8,9,9,11,"Yes","Yes","Yes","Yes",2014
"1523","Mal neo meckel's divert ",9,8,9,9,11,"Yes","Yes","Yes","Yes",2014
"1528","Mal neo small bowel NEC ",9,8,9,9,11,"Yes","Yes","Yes","Yes",2014
"1529","Mal neo small bowel NOS ",9,8,9,9,11,"Yes","Yes","Yes","Yes",2014
"1530","Mal neo hepatic flexure ",9,10,11,11,,"Yes","Yes","Yes","No",2014
"1531","Mal neo transverse colon",9,10,11,11,,"Yes","Yes","Yes","No",2014
"1532","Mal neo descend colon ",9,10,11,11,,"Yes","Yes","Yes","No",2014
"1533","Mal neo sigmoid colon ",9,10,11,11,,"Yes","Yes","Yes","No",2014
"1534","Malignant neoplasm cecum",9,10,11,11,,"Yes","Yes","Yes","No",2014
"1535","Malignant neo appendix ",9,10,11,11,,"Yes","Yes","Yes","No",2014
"1536","Malig neo ascend colon ",9,10,11,11,,"Yes","Yes","Yes","No",2014
"1537","Mal neo splenic flexure ",9,10,11,11,,"Yes","Yes","Yes","No",2014
"1538","Malignant neo colon NEC ",9,10,11,11,,"Yes","Yes","Yes","No",2014
"1539","Malignant neo colon NOS ",9,10,11,11,,"Yes","Yes","Yes","No",2014
"1540","Mal neo rectosigmoid jct",9,10,11,11,,"Yes","Yes","Yes","No",2014
"1541","Malignant neopl rectum ",9,10,11,11,,"Yes","Yes","Yes","No",2014
"1542","Malig neopl anal canal ",9,10,11,11,,"Yes","Yes","Yes","No",2014
"1543","Malignant neo anus NOS ",9,10,11,11,,"Yes","Yes","Yes","No",2014
"1548","Mal neo rectum/anus NEC ",9,10,11,11,,"Yes","Yes","Yes","No",2014
"1550","Mal neo liver, primary ",9,8,9,9,10,"Yes","Yes","Yes","Yes",2014
"1551","Mal neo intrahepat ducts",9,8,9,9,10,"Yes","Yes","Yes","Yes",2014
"1552","Malignant neo liver NOS ",9,8,9,9,10,"Yes","Yes","Yes","Yes",2014
"1560","Malig neo gallbladder ",9,8,9,9,11,"Yes","Yes","Yes","Yes",2014
"1561","Mal neo extrahepat ducts",9,8,9,9,11,"Yes","Yes","Yes","Yes",2014
"1562","Mal neo ampulla of vater",9,8,9,9,11,"Yes","Yes","Yes","Yes",2014
"1568","Malig neo biliary NEC ",9,8,9,9,11,"Yes","Yes","Yes","Yes",2014
"1569","Malig neo biliary NOS ",9,8,9,9,11,"Yes","Yes","Yes","Yes",2014
"1570","Mal neo pancreas head ",9,8,9,9,10,"Yes","Yes","Yes","Yes",2014
"1571","Mal neo pancreas body ",9,8,9,9,10,"Yes","Yes","Yes","Yes",2014
"1572","Mal neo pancreas tail ",9,8,9,9,10,"Yes","Yes","Yes","Yes",2014
"1573","Mal neo pancreatic duct ",9,8,9,9,10,"Yes","Yes","Yes","Yes",2014
"1574","Mal neo islet langerhans",9,8,9,9,10,"Yes","Yes","Yes","Yes",2014
"1578","Malig neo pancreas NEC ",9,8,9,9,10,"Yes","Yes","Yes","Yes",2014
"1579","Malig neo pancreas NOS ",9,8,9,9,10,"Yes","Yes","Yes","Yes",2014
"1580","Mal neo retroperitoneum ",9,8,9,9,11,"Yes","Yes","Yes","Yes",2014
"1588","Mal neo peritoneum NEC ",9,8,9,9,11,"Yes","Yes","Yes","Yes",2014
"1589","Mal neo peritoneum NOS ",9,8,9,9,11,"Yes","Yes","Yes","Yes",2014
"1590","Malig neo intestine NOS ",9,10,11,11,,"Yes","Yes","Yes","No",2014
"1591","Malignant neo spleen NEC",9,10,11,11,,"Yes","Yes","Yes","No",2014
"1598","Mal neo gi/intra-abd NEC",9,10,11,11,,"Yes","Yes","Yes","No",2014
"1599","Mal neo GI tract ill-def",9,10,11,11,,"Yes","Yes","Yes","No",2014
"1600","Mal neo nasal cavities ",9,9,11,11,,"Yes","Yes","Yes","No",2014
"1601","Malig neo middle ear ",9,9,11,11,,"Yes","Yes","Yes","No",2014
"1602","Mal neo maxillary sinus ",9,9,11,11,,"Yes","Yes","Yes","No",2014
"1603","Mal neo ethmoidal sinus ",9,9,11,11,,"Yes","Yes","Yes","No",2014
"1604","Malig neo frontal sinus ",9,9,11,11,,"Yes","Yes","Yes","No",2014
"1605","Mal neo sphenoid sinus ",9,9,11,11,,"Yes","Yes","Yes","No",2014
"1608","Mal neo access sinus NEC",9,9,11,11,,"Yes","Yes","Yes","No",2014
"1609","Mal neo access sinus NOS",9,9,11,11,,"Yes","Yes","Yes","No",2014
"1610","Malignant neo glottis ",9,9,11,11,,"Yes","Yes","Yes","No",2014
"1611","Malig neo supraglottis ",9,9,11,11,,"Yes","Yes","Yes","No",2014
"1612","Malig neo subglottis ",9,9,11,11,,"Yes","Yes","Yes","No",2014
"1613","Mal neo cartilage larynx",9,9,11,11,,"Yes","Yes","Yes","No",2014
"1618","Malignant neo larynx NEC",9,9,11,11,,"Yes","Yes","Yes","No",2014
"1619","Malignant neo larynx NOS",9,9,11,11,,"Yes","Yes","Yes","No",2014
"1620","Malignant neo trachea ",9,8,9,9,10,"Yes","Yes","Yes","Yes",2014
"1622","Malig neo main bronchus ",9,8,9,9,10,"Yes","Yes","Yes","Yes",2014
"1623","Mal neo upper lobe lung ",9,8,9,9,10,"Yes","Yes","Yes","Yes",2014
"1624","Mal neo middle lobe lung",9,8,9,9,10,"Yes","Yes","Yes","Yes",2014
"1625","Mal neo lower lobe lung ",9,8,9,9,10,"Yes","Yes","Yes","Yes",2014
"1628","Mal neo bronch/lung NEC ",9,8,9,9,10,"Yes","Yes","Yes","Yes",2014
"1629","Mal neo bronch/lung NOS ",9,8,9,9,10,"Yes","Yes","Yes","Yes",2014
"1630","Mal neo parietal pleura ",9,8,9,9,10,"Yes","Yes","Yes","Yes",2014
"1631","Mal neo visceral pleura ",9,8,9,9,10,"Yes","Yes","Yes","Yes",2014
"1638","Malig neopl pleura NEC ",9,8,9,9,10,"Yes","Yes","Yes","Yes",2014
"1639","Malig neopl pleura NOS ",9,8,9,9,10,"Yes","Yes","Yes","Yes",2014
"1640","Malignant neopl thymus ",9,9,11,11,,"Yes","Yes","Yes","No",2014
"1641","Malignant neopl heart ",9,9,11,11,,"Yes","Yes","Yes","No",2014
"1642","Mal neo ant mediastinum ",9,9,11,11,,"Yes","Yes","Yes","No",2014
"1643","Mal neo post mediastinum",9,9,11,11,,"Yes","Yes","Yes","No",2014
"1648","Mal neo mediastinum NEC ",9,9,11,11,,"Yes","Yes","Yes","No",2014
"1649","Mal neo mediastinum NOS ",9,9,11,11,,"Yes","Yes","Yes","No",2014
"1650","Mal neo upper resp NOS ",9,9,11,11,,"Yes","Yes","Yes","No",2014
"1658","Mal neo thorax/resp NEC ",9,9,11,11,,"Yes","Yes","Yes","No",2014
"1659","Mal neo resp system NOS ",9,9,11,11,,"Yes","Yes","Yes","No",2014
"1700","Mal neo skull/face bone ",9,9,10,10,11,"Yes","Yes","Yes","Yes",2014
"1701","Malignant neo mandible ",9,9,10,10,11,"Yes","Yes","Yes","Yes",2014
"1702","Malig neo vertebrae ",9,9,10,10,11,"Yes","Yes","Yes","Yes",2014
"1703","Mal neo ribs/stern/clav ",9,9,10,10,11,"Yes","Yes","Yes","Yes",2014
"1704","Mal neo long bones arm ",9,9,10,10,11,"Yes","Yes","Yes","Yes",2014
"1705","Mal neo bones wrist/hand",9,9,10,10,11,"Yes","Yes","Yes","Yes",2014
"1706","Mal neo pelvic girdle ",9,9,10,10,11,"Yes","Yes","Yes","Yes",2014
"1707","Mal neo long bones leg ",9,9,10,10,11,"Yes","Yes","Yes","Yes",2014
"1708","Mal neo bones ankle/foot",9,9,10,10,11,"Yes","Yes","Yes","Yes",2014
"1709","Malig neopl bone NOS ",9,9,10,10,11,"Yes","Yes","Yes","Yes",2014
"1710","Mal neo soft tissue head",9,9,10,10,10,"Yes","Yes","Yes","Yes",2014
"1712","Mal neo soft tissue arm ",9,9,10,10,10,"Yes","Yes","Yes","Yes",2014
"1713","Mal neo soft tissue leg ",9,9,10,10,10,"Yes","Yes","Yes","Yes",2014
"1714","Mal neo soft tis thorax ",9,9,10,10,10,"Yes","Yes","Yes","Yes",2014
"1715","Mal neo soft tis abdomen",9,9,10,10,9,"Yes","Yes","Yes","Yes",2014
"1716","Mal neo soft tis pelvis ",9,9,10,10,10,"Yes","Yes","Yes","Yes",2014
"1717","Mal neopl trunk NOS ",9,9,10,10,10,"Yes","Yes","Yes","Yes",2014
"1718","Mal neo soft tissue NEC ",9,9,10,10,10,"Yes","Yes","Yes","Yes",2014
"1719","Mal neo soft tissue NOS ",9,9,10,10,10,"Yes","Yes","Yes","Yes",2014
"1720","Malig melanoma lip ",9,10,12,12,,"Yes","Yes","Yes","No",2014
"1721","Malig melanoma eyelid ",9,10,12,12,,"Yes","Yes","Yes","No",2014
"1722","Malig melanoma ear ",9,10,12,12,,"Yes","Yes","Yes","No",2014
"1723","Mal melanom face NEC/NOS",9,10,12,12,,"Yes","Yes","Yes","No",2014
"1724","Mal melanoma scalp/neck ",9,10,12,12,,"Yes","Yes","Yes","No",2014
"1725","Malig melanoma trunk ",9,10,12,12,,"Yes","Yes","Yes","No",2014
"1726","Malig melanoma arm ",9,10,12,12,,"Yes","Yes","Yes","No",2014
"1727","Malig melanoma leg ",9,10,12,12,,"Yes","Yes","Yes","No",2014
"1728","Malig melanoma skin NEC ",9,10,12,12,,"Yes","Yes","Yes","No",2014
"1729","Malig melanoma skin NOS ",9,10,12,12,,"Yes","Yes","Yes","No",2014
"1740","Malig neo nipple ",9,10,12,12,10,"Yes","Yes","Yes","Yes",2014
"1741","Mal neo breast-central ",9,10,12,12,10,"Yes","Yes","Yes","Yes",2014
"1742","Mal neo breast up-inner ",9,10,12,12,10,"Yes","Yes","Yes","Yes",2014
"1743","Mal neo breast low-inner",9,10,12,12,10,"Yes","Yes","Yes","Yes",2014
"1744","Mal neo breast up-outer ",9,10,12,12,10,"Yes","Yes","Yes","Yes",2014
"1745","Mal neo breast low-outer",9,10,12,12,10,"Yes","Yes","Yes","Yes",2014
"1746","Mal neo breast-axillary ",9,10,12,12,10,"Yes","Yes","Yes","Yes",2014
"1748","Malign neopl breast NEC ",9,10,12,12,10,"Yes","Yes","Yes","Yes",2014
"1749","Malign neopl breast NOS ",9,10,12,12,10,"Yes","Yes","Yes","Yes",2014
"1750","Mal neo male nipple ",9,10,12,12,10,"Yes","Yes","Yes","Yes",2014
"1759","Mal neo male breast NEC ",9,10,12,12,10,"Yes","Yes","Yes","Yes",2014
"1760","Skin - kaposi's sarcoma ",9,9,10,10,10,"Yes","Yes","Yes","Yes",2014
"1761","Sft tisue - kpsi's srcma",9,9,10,10,10,"Yes","Yes","Yes","Yes",2014
"1762","Palate - kpsi's sarcoma ",9,9,10,10,10,"Yes","Yes","Yes","Yes",2014
"1763","GI sites - kpsi's srcoma",9,9,10,10,10,"Yes","Yes","Yes","Yes",2014
"1764","Lung - kaposi's sarcoma ",9,9,10,10,10,"Yes","Yes","Yes","Yes",2014
"1765","Lym nds - kpsi's sarcoma",9,9,10,10,10,"Yes","Yes","Yes","Yes",2014
"1768","Spf sts - kpsi's sarcoma",9,9,10,10,10,"Yes","Yes","Yes","Yes",2014
"1769","Kaposi's sarcoma NOS ",9,9,10,10,10,"Yes","Yes","Yes","Yes",2014
"179","Malig neopl uterus NOS ",9,10,12,12,,"Yes","Yes","Yes","No",2014
"1800","Malig neo endocervix ",9,10,11,11,,"Yes","Yes","Yes","No",2014
"1801","Malig neo exocervix ",9,10,11,11,,"Yes","Yes","Yes","No",2014
"1808","Malig neo cervix NEC ",9,10,11,11,,"Yes","Yes","Yes","No",2014
"1809","Mal neo cervix uteri NOS",9,10,11,11,,"Yes","Yes","Yes","No",2014
"181","Malignant neopl placenta",9,9,10,10,,"Yes","Yes","Yes","No",2014
"1820","Malig neo corpus uteri ",9,10,12,12,,"Yes","Yes","Yes","No",2014
"1821","Mal neo uterine isthmus ",9,10,12,12,,"Yes","Yes","Yes","No",2014
"1828","Mal neo body uterus NEC ",9,10,12,12,,"Yes","Yes","Yes","No",2014
"1830","Malign neopl ovary ",9,9,10,10,,"Yes","Yes","Yes","No",2014
